date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:55	989/989	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:25%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/05/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/05/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:55	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:25%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/08	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/08	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:55	1196/1196	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:28%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/disc/2/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/disc/2/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:55	36078/36078	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:28%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/projs/02-1/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/projs/02-1/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:56	989/989	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:28%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/06/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/06/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:56	989/989	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:29%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/07/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/07/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:56	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2017%20May%202018%2000:51:29%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/hw/1/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/hw/1/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:56	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:29%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/disc/4	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/disc/4	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:57	24772/24772	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:29%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/labs/1/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/labs/1/index.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:57	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:29%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/labs/3	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/labs/3	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
